CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
858	GWAERSCEW1	Gemäss Gebäudeenergieausweis der Kantone (GEAK)	Gemäss GEAK	Selon Certificat énergétique cantonal des bâtiments (CECB)	Selon CECB	Secondo il Certificato energetico cantonale degli edifici (CECE)	Secondo il CECE	2026-05-08
858	GWAERSCEW2	Gemäss Gebäudeenergieausweis der Kantone (GEAK)	Gemäss GEAK	Selon Certificat énergétique cantonal des bâtiments (CECB)	Selon CECB	Secondo il Certificato energetico cantonale degli edifici (CECE)	Secondo il CECE	2026-05-08
859	GVOLSCE	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
859	GWAERSCEH1	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
859	GWAERSCEH2	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
859	GWAERSCEW1	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
859	GWAERSCEW2	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
860	GWAERSCEH1	Gemäss Volkszählung 2000	Gemäss Volkszählung 2000	Selon recensement 2000	Selon recensement 2000	Secondo censimento 2000	Secondo censimento 2000	2026-05-08
860	GWAERSCEH2	Gemäss Volkszählung 2000	Gemäss Volkszählung 2000	Selon recensement 2000	Selon recensement 2000	Secondo censimento 2000	Secondo censimento 2000	2026-05-08
860	GWAERSCEW1	Gemäss Volkszählung 2000	Gemäss Volkszählung 2000	Selon recensement 2000	Selon recensement 2000	Secondo censimento 2000	Secondo censimento 2000	2026-05-08
860	GWAERSCEW2	Gemäss Volkszählung 2000	Gemäss Volkszählung 2000	Selon recensement 2000	Selon recensement 2000	Secondo censimento 2000	Secondo censimento 2000	2026-05-08
864	GWAERSCEH1	Gemäss kantonalen Daten / Das Gebäudeprogramm	Kantonale Daten/Gebäudeprogramm	Selon données cantonales / Le Programme Bâtiments	Données cantonales/Programme Bât.	Secondo dati cantonali / Il Programma Edifici	Dati cantonali/Programma Edifici	2026-05-08
864	GWAERSCEH2	Gemäss kantonalen Daten / Das Gebäudeprogramm	Kantonale Daten/Gebäudeprogramm	Selon données cantonales / Le Programme Bâtiments	Données cantonales/Programme Bât.	Secondo dati cantonali / Il Programma Edifici	Dati cantonali/Programma Edifici	2026-05-08
864	GWAERSCEW1	Gemäss kantonalen Daten / Das Gebäudeprogramm	Kantonale Daten/Gebäudeprogramm	Selon données cantonales / Le Programme Bâtiments	Données cantonales/Programme Bât.	Secondo dati cantonali / Il Programma Edifici	Dati cantonali/Programma Edifici	2026-05-08
864	GWAERSCEW2	Gemäss kantonalen Daten / Das Gebäudeprogramm	Kantonale Daten/Gebäudeprogramm	Selon données cantonales / Le Programme Bâtiments	Données cantonales/Programme Bât.	Secondo dati cantonali / Il Programma Edifici	Dati cantonali/Programma Edifici	2026-05-08
865	GWAERSCEH1	Gemäss Daten der Gemeinde	Gemäss Daten der Gemeinde	Selon données communales	Selon données communales	Secondo dati comunali	Secondo dati comunali	2026-05-08
865	GWAERSCEH2	Gemäss Daten der Gemeinde	Gemäss Daten der Gemeinde	Selon données communales	Selon données communales	Secondo dati comunali	Secondo dati comunali	2026-05-08
865	GWAERSCEW1	Gemäss Daten der Gemeinde	Gemäss Daten der Gemeinde	Selon données communales	Selon données communales	Secondo dati comunali	Secondo dati comunali	2026-05-08
865	GWAERSCEW2	Gemäss Daten der Gemeinde	Gemäss Daten der Gemeinde	Selon données communales	Selon données communales	Secondo dati comunali	Secondo dati comunali	2026-05-08
869	GVOLSCE	Gemäss Baubewilligung	Gemäss Baubewilligung	Selon permis de construire	Selon permis de construire	Secondo la licenza di construzione	Secondo la licenza	2026-05-08
869	GWAERSCEH1	Gemäss Baubewilligung	Gemäss Baubewilligung	Selon permis de construire	Selon permis de construire	Secondo la licenza di construzione	Secondo la licenza	2026-05-08
869	GWAERSCEH2	Gemäss Baubewilligung	Gemäss Baubewilligung	Selon permis de construire	Selon permis de construire	Secondo la licenza di construzione	Secondo la licenza	2026-05-08
869	GWAERSCEW1	Gemäss Baubewilligung	Gemäss Baubewilligung	Selon permis de construire	Selon permis de construire	Secondo la licenza di construzione	Secondo la licenza	2026-05-08
869	GWAERSCEW2	Gemäss Baubewilligung	Gemäss Baubewilligung	Selon permis de construire	Selon permis de construire	Secondo la licenza di construzione	Secondo la licenza	2026-05-08
870	GVOLSCE	Gemäss topografischem Landschaftsmodell (TLM)	Gemäss TLM	Selon modèle topographique de paysage MTP	Selon MTP	Secondo il modello topografico del paesaggio MTP	Secondo il MTP	2026-05-08
870	GWAERSCEH1	Gemäss Versorgungswerk (Gas, Fernwärme)	Gemäss Versorgungswerk	Selon entreprise de distribution (gaz, chaleur à distance)	Selon entreprise de distribution	Secondo l'impresa di erogazione (gas, calore a distanza)	Secondo l'impresa di erogazione	2026-05-08
870	GWAERSCEH2	Gemäss Versorgungswerk (Gas, Fernwärme)	Gemäss Versorgungswerk	Selon entreprise de distribution (gaz, chaleur à distance)	Selon entreprise de distribution	Secondo l'impresa di erogazione (gas, calore a distanza)	Secondo l'impresa di erogazione	2026-05-08
870	GWAERSCEW1	Gemäss Versorgungswerk (Gas, Fernwärme)	Gemäss Versorgungswerk	Selon entreprise de distribution (gaz, chaleur à distance)	Selon entreprise de distribution	Secondo l'impresa di erogazione (gas, calore a distanza)	Secondo l'impresa di erogazione	2026-05-08
